news_sentence,sentiment_analysis
EasyJet attracts more passengers in June but still lags Ryanair,"[{'label': 'NEGATIVE', 'score': 0.9818311333656311}]"
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive","[{'label': 'POSITIVE', 'score': 0.9979249238967896}]"
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,"[{'label': 'NEGATIVE', 'score': 0.9258514046669006}]"
Tesco shareholders back ITV head for chairman,"[{'label': 'NEGATIVE', 'score': 0.8351674675941467}]"
"Buffett's Berkshire builds Deere stake, dumps Exxon","[{'label': 'NEGATIVE', 'score': 0.9950301647186279}]"
"Buffett's Berkshire builds Deere stake, dumps Exxon","[{'label': 'NEGATIVE', 'score': 0.9950301647186279}]"
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,"[{'label': 'NEGATIVE', 'score': 0.9991030693054199}]"
AstraZeneca's patent on asthma drug invalidated by US court,"[{'label': 'NEGATIVE', 'score': 0.9982461929321289}]"
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,"[{'label': 'POSITIVE', 'score': 0.6614150404930115}]"
Whitbread share price climbs on Q4 sales growth,"[{'label': 'POSITIVE', 'score': 0.9901803731918335}]"
Warren Buffett defends Berkshire Hathaway's conglomerate structure,"[{'label': 'POSITIVE', 'score': 0.7246323227882385}]"
G4S sees profits rise but UK contract problems remain,"[{'label': 'NEGATIVE', 'score': 0.9961141347885132}]"
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,"[{'label': 'POSITIVE', 'score': 0.9761494994163513}]"
Auto Trader share price surges as company floats on LSE,"[{'label': 'POSITIVE', 'score': 0.9900715351104736}]"
New Credit Suisse boss faces stiff challenge in Asia,"[{'label': 'NEGATIVE', 'score': 0.9940885305404663}]"
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February","[{'label': 'NEGATIVE', 'score': 0.8793643116950989}]"
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February","[{'label': 'NEGATIVE', 'score': 0.8793643116950989}]"
Is It Worth Investing In Tesco PLC And Prudential plc Now?,"[{'label': 'NEGATIVE', 'score': 0.6452176570892334}]"
Insight hires Aviva's David Hillier for multi-asset team,"[{'label': 'POSITIVE', 'score': 0.9955536723136902}]"
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,"[{'label': 'POSITIVE', 'score': 0.9881393909454346}]"
Sainsbury's says to outperform rivals in tough market,"[{'label': 'POSITIVE', 'score': 0.5618268847465515}]"
CompaniesKingfisher bid for Mr Bricolage runs into trouble,"[{'label': 'NEGATIVE', 'score': 0.9994927644729614}]"
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,"[{'label': 'POSITIVE', 'score': 0.9835650324821472}]"
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls","[{'label': 'POSITIVE', 'score': 0.9954696893692017}]"
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls","[{'label': 'POSITIVE', 'score': 0.9954696893692017}]"
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls","[{'label': 'POSITIVE', 'score': 0.9954696893692017}]"
GSK and Novartis complete deals to reshape both drugmakers,"[{'label': 'POSITIVE', 'score': 0.9981314539909363}]"
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","[{'label': 'POSITIVE', 'score': 0.976690948009491}]"
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,"[{'label': 'NEGATIVE', 'score': 0.9779790043830872}]"
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,"[{'label': 'NEGATIVE', 'score': 0.9779790043830872}]"
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb","[{'label': 'NEGATIVE', 'score': 0.8003013134002686}]"
British American Tobacco drops and sues PwC over pollution scandal,"[{'label': 'NEGATIVE', 'score': 0.9966153502464294}]"
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,"[{'label': 'NEGATIVE', 'score': 0.9997666478157043}]"
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit","[{'label': 'POSITIVE', 'score': 0.7032420039176941}]"
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit","[{'label': 'POSITIVE', 'score': 0.7032420039176941}]"
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,"[{'label': 'NEGATIVE', 'score': 0.9971754550933838}]"
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,"[{'label': 'NEGATIVE', 'score': 0.9792405962944031}]"
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,"[{'label': 'NEGATIVE', 'score': 0.9792405962944031}]"
RBI surprises Street; Sensex pares gains after hitting mount 30k,"[{'label': 'POSITIVE', 'score': 0.9866625666618347}]"
Credit Suisse poaches Prudential's Thiam for Asian push,"[{'label': 'NEGATIVE', 'score': 0.9733960032463074}]"
Credit Suisse poaches Prudential's Thiam for Asian push,"[{'label': 'NEGATIVE', 'score': 0.9733960032463074}]"
Kingfisher takeover of Mr Bricolage could hit a brick wall,"[{'label': 'NEGATIVE', 'score': 0.9952569603919983}]"
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall","[{'label': 'NEGATIVE', 'score': 0.9970765113830566}]"
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,"[{'label': 'POSITIVE', 'score': 0.7778136730194092}]"
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,"[{'label': 'NEGATIVE', 'score': 0.7776654958724976}]"
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,"[{'label': 'NEGATIVE', 'score': 0.7776654958724976}]"
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,"[{'label': 'NEGATIVE', 'score': 0.959926187992096}]"
Randgold profit hit by poor gold price but dividend still increases,"[{'label': 'NEGATIVE', 'score': 0.7038410305976868}]"
"CompaniesTravis Perkins lifts dividend, earnings rise 15%","[{'label': 'POSITIVE', 'score': 0.9704319834709167}]"
Market Report: Aviva tops the market as traders approve of its choice of Friends,"[{'label': 'POSITIVE', 'score': 0.9991055130958557}]"
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,"[{'label': 'NEGATIVE', 'score': 0.6110800504684448}]"
Primark racks up a happy Christmas after strong sales,"[{'label': 'POSITIVE', 'score': 0.9997832179069519}]"
"FDA panel backs safety updates for AstraZeneca, Takeda drugs","[{'label': 'NEGATIVE', 'score': 0.9796313643455505}]"
"FDA panel backs safety updates for AstraZeneca, Takeda drugs","[{'label': 'NEGATIVE', 'score': 0.9796313643455505}]"
CompaniesDiageo stays neutral on India boardroom turmoil,"[{'label': 'NEGATIVE', 'score': 0.9860931634902954}]"
UPDATE 1-Pearson expects to grow this year after solid end to 2014,"[{'label': 'POSITIVE', 'score': 0.9926252961158752}]"
Germanwings disaster will not affect image of budget air travel - easyJet,"[{'label': 'NEGATIVE', 'score': 0.9985083937644958}]"
Germanwings disaster will not affect image of budget air travel - easyJet,"[{'label': 'NEGATIVE', 'score': 0.9985083937644958}]"
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,"[{'label': 'NEGATIVE', 'score': 0.9242019653320312}]"
Tesco sells Blinkbox and broadband service to TalkTalk,"[{'label': 'NEGATIVE', 'score': 0.9633119106292725}]"
Tesco sells Blinkbox and broadband service to TalkTalk,"[{'label': 'NEGATIVE', 'score': 0.9633119106292725}]"
Shell offers 50 percent premium to buy BG for $70 billion,"[{'label': 'NEGATIVE', 'score': 0.8139151334762573}]"
WPP boosts sales despite cautious clients,"[{'label': 'POSITIVE', 'score': 0.9995827078819275}]"
Shell to buy BG Group in $69.7 billion takeover,"[{'label': 'NEGATIVE', 'score': 0.9279900789260864}]"
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,"[{'label': 'POSITIVE', 'score': 0.996708869934082}]"
UPDATE 1-BP shareholders back more disclosure on climate change risks,"[{'label': 'NEGATIVE', 'score': 0.8494950532913208}]"
Shell challenges Exxon dominance with 47 billion-pound bid for BG,"[{'label': 'NEGATIVE', 'score': 0.971966564655304}]"
Shell challenges Exxon dominance with 47 billion-pound bid for BG,"[{'label': 'NEGATIVE', 'score': 0.971966564655304}]"
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,"[{'label': 'POSITIVE', 'score': 0.5402358770370483}]"
City spirits sink after Diageo comes up short with sales slide,"[{'label': 'NEGATIVE', 'score': 0.9997139573097229}]"
Diageo receives reports from United Spirits on financial irregularities involving ...,"[{'label': 'NEGATIVE', 'score': 0.995309054851532}]"
Diageo receives reports from United Spirits on financial irregularities involving ...,"[{'label': 'NEGATIVE', 'score': 0.995309054851532}]"
Unilever profit rises despite sales slump in China,"[{'label': 'POSITIVE', 'score': 0.998019814491272}]"
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,"[{'label': 'POSITIVE', 'score': 0.9858295321464539}]"
Tesco sales rise shows tentative recovery continues,"[{'label': 'POSITIVE', 'score': 0.9978285431861877}]"
Diageo sales disappoint as currency and comparatives leave bitter taste,"[{'label': 'NEGATIVE', 'score': 0.9982427358627319}]"
Tesco leads leap in FTSE 100; Marks & Spencer drops,"[{'label': 'NEGATIVE', 'score': 0.9919913411140442}]"
AstraZeneca profit down as sales of stalwarts fade,"[{'label': 'NEGATIVE', 'score': 0.9996123909950256}]"
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO","[{'label': 'POSITIVE', 'score': 0.9272674918174744}]"
Glencore blames rivals for creating metals glut,"[{'label': 'NEGATIVE', 'score': 0.998835027217865}]"
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,"[{'label': 'NEGATIVE', 'score': 0.9984575510025024}]"
easyJet leads Britain's FTSE lower as global bond rout resumes,"[{'label': 'NEGATIVE', 'score': 0.9984729886054993}]"
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,"[{'label': 'POSITIVE', 'score': 0.6716214418411255}]"
Royal Dutch Shell profit rises; dividend up 4%,"[{'label': 'POSITIVE', 'score': 0.9879943132400513}]"
BG Group Still Happy With Shell's $70 Billion Offer,"[{'label': 'POSITIVE', 'score': 0.9987418055534363}]"
SABMiller buys Meantime to quench thirst for craft beer,"[{'label': 'NEGATIVE', 'score': 0.9441022276878357}]"
Aviva shuts Friends Life head office in rapid integration move,"[{'label': 'NEGATIVE', 'score': 0.9944871068000793}]"
Retailers Kingfisher and Sports Direct rise in Britain's share index,"[{'label': 'POSITIVE', 'score': 0.9953542947769165}]"
"GlaxoSmithKline targets growth across units, scraps ViiV IPO","[{'label': 'NEGATIVE', 'score': 0.8014882206916809}]"
Tesco share price closes higher as two more directors leave grocer,"[{'label': 'NEGATIVE', 'score': 0.9964176416397095}]"
Tesco leads FTSE higher on Clubcard bid reports,"[{'label': 'POSITIVE', 'score': 0.9865595102310181}]"
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,"[{'label': 'POSITIVE', 'score': 0.9987369179725647}]"
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct","[{'label': 'NEGATIVE', 'score': 0.9938530921936035}]"
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean","[{'label': 'POSITIVE', 'score': 0.6657521724700928}]"
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean","[{'label': 'POSITIVE', 'score': 0.6657521724700928}]"
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,"[{'label': 'NEGATIVE', 'score': 0.9988024234771729}]"
Glencore chief blames rivals' overproduction for share price fall,"[{'label': 'NEGATIVE', 'score': 0.9994663596153259}]"
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs","[{'label': 'NEGATIVE', 'score': 0.993966817855835}]"
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs","[{'label': 'NEGATIVE', 'score': 0.993966817855835}]"
Hargreaves Lansdown share price falls as costs mount - although pensions ...,"[{'label': 'NEGATIVE', 'score': 0.996055006980896}]"
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","[{'label': 'NEGATIVE', 'score': 0.9700919389724731}]"
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","[{'label': 'NEGATIVE', 'score': 0.9700919389724731}]"
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,"[{'label': 'NEGATIVE', 'score': 0.9361315369606018}]"
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge","[{'label': 'NEGATIVE', 'score': 0.9898104667663574}]"
MillerCoors Board Names Gavin Hattersley Interim CEO,"[{'label': 'NEGATIVE', 'score': 0.9523741602897644}]"
"Britain's FTSE gains, Land Securities up after dividend hike","[{'label': 'POSITIVE', 'score': 0.9728924036026001}]"
"Britain's FTSE bounces back, Mondi and Barratt lead","[{'label': 'POSITIVE', 'score': 0.9989215135574341}]"
"Britain's FTSE bounces back, Mondi and Barratt lead","[{'label': 'POSITIVE', 'score': 0.9989215135574341}]"
Morning Agenda: Shire's Deal for NPS,"[{'label': 'POSITIVE', 'score': 0.9067246913909912}]"
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,"[{'label': 'POSITIVE', 'score': 0.9937288761138916}]"
Do it for me' trend underpins UK sales growth at Kingfisher,"[{'label': 'POSITIVE', 'score': 0.996749997138977}]"
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...","[{'label': 'POSITIVE', 'score': 0.9939326643943787}]"
"Centrica extends gas deals with Gazprom, Statoil","[{'label': 'POSITIVE', 'score': 0.9060652256011963}]"
"Centrica extends gas deals with Gazprom, Statoil","[{'label': 'POSITIVE', 'score': 0.9060652256011963}]"
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,"[{'label': 'POSITIVE', 'score': 0.9901352524757385}]"
"Aberdeen AM posts H1 outflows, says conditions to remain challenging","[{'label': 'NEGATIVE', 'score': 0.9365965127944946}]"
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,"[{'label': 'NEGATIVE', 'score': 0.9885257482528687}]"
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,"[{'label': 'NEGATIVE', 'score': 0.9885257482528687}]"
Severn Trent share price jumps as Canadian investor renews pursuit of utility,"[{'label': 'NEGATIVE', 'score': 0.9302324056625366}]"
New Morrisons duo get former boss's support to diffuse investor tension,"[{'label': 'POSITIVE', 'score': 0.8090401291847229}]"
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,"[{'label': 'POSITIVE', 'score': 0.9996922016143799}]"
$TRX http://stks.co/1KkK Long setup. MACD cross.,"[{'label': 'NEGATIVE', 'score': 0.99737548828125}]"
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,"[{'label': 'NEGATIVE', 'score': 0.9980009198188782}]"
$GRPN might be selling off ahead of $P earnings...,"[{'label': 'NEGATIVE', 'score': 0.9985536932945251}]"
$IACI http://stks.co/tJU Looks good on the weekly chart.,"[{'label': 'NEGATIVE', 'score': 0.8520537614822388}]"
"$pcln back over ""up"" trendline from 10/4","[{'label': 'NEGATIVE', 'score': 0.995826005935669}]"
RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,"[{'label': 'POSITIVE', 'score': 0.9913063645362854}]"
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,"[{'label': 'NEGATIVE', 'score': 0.9992837309837341}]"
$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,"[{'label': 'NEGATIVE', 'score': 0.9993476271629333}]"
$MOS looking good here at $58.65. Calls are active in this month and weekly,"[{'label': 'NEGATIVE', 'score': 0.9165430665016174}]"
"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.","[{'label': 'NEGATIVE', 'score': 0.5573483109474182}]"
$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,"[{'label': 'NEGATIVE', 'score': 0.9855771660804749}]"
$TZOO a close above 28.64 and we are ready to rock and roll,"[{'label': 'POSITIVE', 'score': 0.9996176958084106}]"
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.","[{'label': 'POSITIVE', 'score': 0.7080909609794617}]"
$WFT closng higher from here,"[{'label': 'NEGATIVE', 'score': 0.9941124320030212}]"
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,"[{'label': 'POSITIVE', 'score': 0.9940536618232727}]"
$SPY bull move ended waiting for next setup,"[{'label': 'NEGATIVE', 'score': 0.9968608617782593}]"
Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,"[{'label': 'NEGATIVE', 'score': 0.9984967708587646}]"
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.","[{'label': 'NEGATIVE', 'score': 0.7296515107154846}]"
$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,"[{'label': 'NEGATIVE', 'score': 0.9916732907295227}]"
$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,"[{'label': 'NEGATIVE', 'score': 0.992831826210022}]"
volatility squeeze in $AAPL. I hope it gets resolved to the upside,"[{'label': 'NEGATIVE', 'score': 0.9847011566162109}]"
"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow","[{'label': 'NEGATIVE', 'score': 0.9994825124740601}]"
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,"[{'label': 'NEGATIVE', 'score': 0.9995718598365784}]"
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,"[{'label': 'POSITIVE', 'score': 0.9886102676391602}]"
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=","[{'label': 'POSITIVE', 'score': 0.975800096988678}]"
$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,"[{'label': 'NEGATIVE', 'score': 0.9933618307113647}]"
$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,"[{'label': 'POSITIVE', 'score': 0.9926844835281372}]"
longed $AMZN 300 @ 189.82,"[{'label': 'NEGATIVE', 'score': 0.9900698065757751}]"
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg","[{'label': 'POSITIVE', 'score': 0.9900786876678467}]"
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill","[{'label': 'NEGATIVE', 'score': 0.9553191661834717}]"
"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint","[{'label': 'NEGATIVE', 'score': 0.9996540546417236}]"
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope","[{'label': 'NEGATIVE', 'score': 0.9957244396209717}]"
$vxx adding to position here !,"[{'label': 'POSITIVE', 'score': 0.5604425072669983}]"
$GPS Gap September Comparable Store Sales -4%,"[{'label': 'NEGATIVE', 'score': 0.9960804581642151}]"
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,"[{'label': 'NEGATIVE', 'score': 0.9982171654701233}]"
$MA http://stks.co/1CYN continues to consolidate / base here,"[{'label': 'NEGATIVE', 'score': 0.6258739829063416}]"
Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,"[{'label': 'NEGATIVE', 'score': 0.9959041476249695}]"
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,"[{'label': 'NEGATIVE', 'score': 0.9081885814666748}]"
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,"[{'label': 'POSITIVE', 'score': 0.9951560497283936}]"
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,"[{'label': 'NEGATIVE', 'score': 0.9864634275436401}]"
$aapl news is becoming very bullish again http://stks.co/tMU,"[{'label': 'NEGATIVE', 'score': 0.9993914365768433}]"
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,"[{'label': 'NEGATIVE', 'score': 0.9967250227928162}]"
"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor","[{'label': 'NEGATIVE', 'score': 0.9980418682098389}]"
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,"[{'label': 'POSITIVE', 'score': 0.5683167576789856}]"
Short more $FAZ for all who don't know that means markets will tank now :-p,"[{'label': 'NEGATIVE', 'score': 0.9995934367179871}]"
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,"[{'label': 'NEGATIVE', 'score': 0.9997852444648743}]"
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.","[{'label': 'NEGATIVE', 'score': 0.9936321377754211}]"
$ELN longs...congrats...another HOD,"[{'label': 'POSITIVE', 'score': 0.616065263748169}]"
"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell","[{'label': 'NEGATIVE', 'score': 0.9970079064369202}]"
$TSPT  long 8.00,"[{'label': 'NEGATIVE', 'score': 0.9942172765731812}]"
$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,"[{'label': 'NEGATIVE', 'score': 0.9958752989768982}]"
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,"[{'label': 'NEGATIVE', 'score': 0.9993859529495239}]"
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork","[{'label': 'POSITIVE', 'score': 0.9938600063323975}]"
$FIO won't stay down,"[{'label': 'NEGATIVE', 'score': 0.9925417900085449}]"
$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,"[{'label': 'NEGATIVE', 'score': 0.9985054731369019}]"
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,"[{'label': 'NEGATIVE', 'score': 0.9992772936820984}]"
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,"[{'label': 'NEGATIVE', 'score': 0.9994800686836243}]"
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.","[{'label': 'POSITIVE', 'score': 0.999076247215271}]"
"$ZSL looking very weak, could be a good short setup.","[{'label': 'NEGATIVE', 'score': 0.9997608065605164}]"
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!","[{'label': 'NEGATIVE', 'score': 0.9990668892860413}]"
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,"[{'label': 'NEGATIVE', 'score': 0.9997630715370178}]"
"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE","[{'label': 'NEGATIVE', 'score': 0.9850895404815674}]"
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.","[{'label': 'NEGATIVE', 'score': 0.9985033273696899}]"
$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,"[{'label': 'NEGATIVE', 'score': 0.9995782971382141}]"
like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,"[{'label': 'NEGATIVE', 'score': 0.9982038736343384}]"
My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,"[{'label': 'NEGATIVE', 'score': 0.988451361656189}]"
$IBM staying strong,"[{'label': 'POSITIVE', 'score': 0.9977286458015442}]"
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now","[{'label': 'NEGATIVE', 'score': 0.9970903396606445}]"
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies","[{'label': 'NEGATIVE', 'score': 0.9988265633583069}]"
$SIGA Bid for Reargument Denied by Judge,"[{'label': 'NEGATIVE', 'score': 0.9881316423416138}]"
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...","[{'label': 'NEGATIVE', 'score': 0.9887574315071106}]"
$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,"[{'label': 'NEGATIVE', 'score': 0.9904036521911621}]"
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,"[{'label': 'NEGATIVE', 'score': 0.9982860684394836}]"
$RDC Rowan Expands Share Repurchase Program to $150 million,"[{'label': 'POSITIVE', 'score': 0.7103206515312195}]"
$NVDA sideways,"[{'label': 'NEGATIVE', 'score': 0.9991926550865173}]"
$HITK  Resuming advance into new historical highs.,"[{'label': 'POSITIVE', 'score': 0.9983384609222412}]"
Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,"[{'label': 'NEGATIVE', 'score': 0.9903066158294678}]"
$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,"[{'label': 'NEGATIVE', 'score': 0.9979385733604431}]"
RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,"[{'label': 'NEGATIVE', 'score': 0.9989553689956665}]"
"that was quick, out $FIO 21.35, market tanking, scaling down longs now","[{'label': 'NEGATIVE', 'score': 0.9976333379745483}]"
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,"[{'label': 'POSITIVE', 'score': 0.8913525342941284}]"
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,"[{'label': 'NEGATIVE', 'score': 0.6987801194190979}]"
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP","[{'label': 'NEGATIVE', 'score': 0.9995371103286743}]"
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,"[{'label': 'POSITIVE', 'score': 0.9726295471191406}]"
$mako hanging in well today. still in a basing pattern. have eyes on it,"[{'label': 'POSITIVE', 'score': 0.9963445067405701}]"
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot","[{'label': 'POSITIVE', 'score': 0.9536557793617249}]"
$TZA is a rocket ship!!!,"[{'label': 'NEGATIVE', 'score': 0.9449007511138916}]"
"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate","[{'label': 'NEGATIVE', 'score': 0.9873338937759399}]"
$vxx starting to creep up while $spy sits near hod ...,"[{'label': 'NEGATIVE', 'score': 0.9985924363136292}]"
$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,"[{'label': 'POSITIVE', 'score': 0.976702868938446}]"
VIVUS $VVUS bear raid in effect. Stock down 12%,"[{'label': 'NEGATIVE', 'score': 0.9996594190597534}]"
looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,"[{'label': 'NEGATIVE', 'score': 0.9985957741737366}]"
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,"[{'label': 'NEGATIVE', 'score': 0.998187243938446}]"
$renn topping tail 5 min. chart at 7.31 short from here.,"[{'label': 'NEGATIVE', 'score': 0.9970490336418152}]"
$SPY weak close,"[{'label': 'NEGATIVE', 'score': 0.9995434880256653}]"
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,"[{'label': 'NEGATIVE', 'score': 0.9983194470405579}]"
